guid;stock;title;summary;published;p_date;sentiment_summary;sentiment_title
1d957f3d-a43f-3d02-8166-7d0af2623f8d;A;EV, Chips, Crypto Stocks in Crosshairs as Biden, Trump Face Off;(Bloomberg) -- The stock market has largely brushed off the uncertainty around November’s US election. That may change Thursday evening, when President Joe Biden and former President Donald Trump face off in the first debate in the race.Most Read from BloombergSupreme Court Poised to Allow Emergency Abortions in IdahoSpaceX Tender Offer Said to Value Company at Record $210 BillionSupreme Court Ends OxyContin Settlement, Cracking Sackler ShieldChina’s Finance Elite Face $400,000 Pay Cap, Bonus Cl;Thu, 27 Jun 2024 16:06:28 +0000;A_2024-06-27;0.5267;0.0
10d837af-e823-3144-979a-d4af912a2eef;A;Dynatrace initiated, U.S. Bancorp downgraded: Wall Street's top analyst calls;Dynatrace initiated, U.S. Bancorp downgraded: Wall Street's top analyst calls;Thu, 27 Jun 2024 13:48:13 +0000;A_2024-06-27;0.2023;0.2023
653bce67-1748-3e5c-84fe-49454af47bee;A;Agilent’s ESG Report Highlights Expansion of Solutions to Help Labs Manage Their Environmental Footprint;SANTA CLARA, Calif., June 26, 2024--Agilent Technologies Inc. (NYSE: A) today released the company’s annual ESG report, showcasing a comprehensive and growing set of sustainable solutions that enable hundreds of thousands of labs worldwide to reduce consumption of nonrenewable resources and to minimize waste.;Wed, 26 Jun 2024 14:07:00 +0000;A_2024-06-26;0.1531;0.5267
8e0becdd-3a5b-344d-ada4-bf3057c332f3;A;Agilent Technologies (NYSE:A) shareholders have earned a 13% CAGR over the last five years;Agilent Technologies, Inc. ( NYSE:A ) shareholders might be concerned after seeing the share price drop 10% in the last...;Tue, 25 Jun 2024 14:00:18 +0000;A_2024-06-25;0.0258;0.0
70ddce16-51f6-3033-800c-6e53f70d6366;A;Insider Selling: CEO Padraig Mcdonnell Sells Shares of Agilent Technologies Inc (A);Following this transaction, the insider now owns 28,034 shares of the company.  Agilent Technologies Inc, a global leader in life sciences, diagnostics, and applied chemical markets, provides laboratories worldwide with instruments, services, consumables, applications, and expertise.  Over the past year, Padraig Mcdonnell has sold a total of 3,916 shares of the company and has not made any purchases.;Fri, 21 Jun 2024 07:10:27 +0000;A_2024-06-21;0.5267;0.296
3dcc9a55-7023-3211-a3a2-c67d6ed870af;A;Estimating The Intrinsic Value Of Agilent Technologies, Inc. (NYSE:A);Key Insights The projected fair value for Agilent Technologies is US$154 based on 2 Stage Free Cash Flow to Equity With...;Wed, 19 Jun 2024 13:00:12 +0000;A_2024-06-19;0.7906;0.34
dea896a4-3176-3a62-a1cd-4da052f9aa91;A;Insiders At Agilent Technologies Sold US$6.4m In Stock, Alluding To Potential Weakness;In the last year, many Agilent Technologies, Inc. ( NYSE:A ) insiders sold a substantial stake in the company which may...;Fri, 14 Jun 2024 12:00:25 +0000;A_2024-06-14;0.2023;-0.4215
5726a018-f0e0-3f9a-b7b0-31e2d9b3f34e;A;Agilent to cut 3% of employees as sluggish lab equipment market persists;An Agilent spokesperson said the layoffs follow job cuts announced late last year amid a slower-than-expected market recovery.;Fri, 14 Jun 2024 10:54:44 +0000;A_2024-06-14;-0.296;-0.5859
8d1e6f57-8709-31a1-94f2-24adc3adaece;A;New Strong Sell Stocks for June 7th;A, CAR and BGS have been added to the Zacks Rank #5 (Strong Sell) List on June 7, 2024.;Fri, 07 Jun 2024 10:24:00 +0000;A_2024-06-07;0.0;0.5106
84cd4a3c-7bac-312f-818a-a7c927a96a6f;A;Agilent (A) Boosts Reach to Lab Researchers With New Devices;Agilent (A) boosts its presence in the mass spectrometry market with the launch of the Agilent 7010D Triple Quadrupole GC/MS System and the Agilent ExD Cell.;Thu, 06 Jun 2024 16:01:00 +0000;A_2024-06-06;0.3182;0.34
542af713-2905-30e4-bcbb-51adcbbf138e;A;Waters (WAT) Expands Mass Spectrometer Portfolio With Xevo MRT;Waters (WAT) boosts MS offerings with the launch of Xevo MRT, strengthening its Waters operating segment's portfolio.;Tue, 04 Jun 2024 16:02:00 +0000;A_2024-06-04;0.6705;0.1027
f959d7df-e722-3011-ab41-7179a268f8cc;A;Investing in Agilent (A)? Don't Miss Assessing Its International Revenue Trends;Examine the evolution of Agilent's (A) overseas revenue trends and their effects on Wall Street's forecasts and the stock's prospects.;Mon, 03 Jun 2024 15:27:00 +0000;A_2024-06-03;0.296;0.1139
34b18e46-3f8c-31fc-8e3c-613b99b7072a;A;Agilent Announces Cutting-Edge Advances in GC/MS and LC/Q-TOF Technology at ASMS 2024;SANTA CLARA, Calif., June 03, 2024--Agilent Technologies Inc., (NYSE: A) is introducing two new products at the 72nd ASMS Conference on Mass Spectrometry and Allied Topics. The Agilent 7010D Triple Quadrupole GC/MS System which targets the food and environmental markets, offers precision and sensitivity in gas chromatography-mass spectrometry. Additionally, the Agilent ExD Cell for use with the 6545XT AdvanceBio LC/Q-TOF system, serves the biopharma market and life science research. These instru;Mon, 03 Jun 2024 15:00:00 +0000;A_2024-06-03;0.0;0.0
b41f3f01-71e8-3ee6-80b7-4a7dd3b87b87;A;Is It Time To Consider Buying Agilent Technologies, Inc. (NYSE:A)?;Let's talk about the popular Agilent Technologies, Inc. ( NYSE:A ). The company's shares saw significant share price...;Fri, 31 May 2024 11:01:09 +0000;A_2024-05-31;0.7906;0.0
bf856779-6f30-3bec-9f0c-a3768e1c44ce;A;These Stocks Moved the Most Today: Salesforce, UiPath, HP Inc., Best Buy, Kohl’s, Foot Locker, C3.ai, Nutanix, and More;Salesforce issues a weak outlook and the stock slumps, UiPath’s revenue outlook comes in well below analysts’ estimates, and Kohl’s posts a surprise first-quarter loss.;Thu, 30 May 2024 20:24:00 +0000;A_2024-05-30;-0.25;0.6369
42bbfc35-dcbf-3028-a83f-362af3390769;A;Agilent (A) Q2 Earnings Beat Estimates, Revenues Fall Y/Y;Agilent's (A) fiscal second-quarter results reflect weak momentum across all end markets.;Thu, 30 May 2024 15:58:00 +0000;A_2024-05-30;-0.4404;0.0
cf3fdd1e-0c3f-38b7-adbf-029d90319947;A;"Midday movers: Salesforce, Kohl's and Agilent fall; Foot Locker, HP rise";(Updated - May 30, 2024 11:35 AM EDT);Thu, 30 May 2024 11:39:02 +0000;A_2024-05-30;0.0;0.0
76dad8f1-2a7e-30f0-83fc-d7e92bd3933d;A;Q2 2024 Agilent Technologies Inc Earnings Call;Q2 2024 Agilent Technologies Inc Earnings Call;Thu, 30 May 2024 10:38:24 +0000;A_2024-05-30;0.0;0.0
19f7d5b2-a6d7-3d12-9501-bee12d477489;A;Agilent (A) Reports Q2 Earnings: What Key Metrics Have to Say;While the top- and bottom-line numbers for Agilent (A) give a sense of how the business performed in the quarter ended April 2024, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.;Wed, 29 May 2024 22:00:03 +0000;A_2024-05-29;0.6597;0.0
c8eacaa7-8a27-32d7-91a7-002af974cf1b;A;Agilent Technologies (A) Surpasses Q2 Earnings Estimates;Agilent (A) delivered earnings and revenue surprises of 2.52% and 0.46%, respectively, for the quarter ended April 2024. Do the numbers hold clues to what lies ahead for the stock?;Wed, 29 May 2024 21:15:04 +0000;A_2024-05-29;0.128;0.0
ce6c374e-86c4-3d88-b652-19f04a9b96e7;L;If EPS Growth Is Important To You, Loews (NYSE:L) Presents An Opportunity;Investors are often guided by the idea of discovering 'the next big thing', even if that means buying 'story stocks...;Sun, 16 Jun 2024 12:09:09 +0000;L_2024-06-16;0.0;0.7351
c3282890-7770-3daa-8ac9-967619b482cc;L;Loews Corporation's (NYSE:L) institutional investors lost 3.9% last week but have benefitted from longer-term gains;Key Insights Given the large stake in the stock by institutions, Loews' stock price might be vulnerable to their...;Fri, 24 May 2024 14:40:30 +0000;L_2024-05-24;-0.2263;0.7184
67a48dc9-af75-3e67-91ab-20954b3285c1;L;Insider Sale: SVP & Chief Investment Officer Richard Scott Sells 9,045 Shares of Loews Corp (L);On May 21, 2024, Richard Scott, the Senior Vice President & Chief Investment Officer of Loews Corp (NYSE:L), sold 9,045 shares of the company.;Wed, 22 May 2024 23:06:59 +0000;L_2024-05-22;0.296;0.296
e0ec187d-9d01-3f0e-8b7b-2354a8929c5d;L;Loews Corp (L) (Q1 2024) Earnings Call Transcript Highlights: Strong Performance with Notable ...;Explore key financial outcomes and strategic insights from Loews Corp's first quarter of 2024, reflecting robust growth and operational achievements.;Tue, 07 May 2024 21:01:56 +0000;L_2024-05-07;0.6124;0.5106
aec18269-a64a-3b56-b6e0-fc7f14eceafd;L;Decoding Loews Corp (L): A Strategic SWOT Insight;Unveiling the Strengths and Challenges: A Deep Dive into Loews Corp (L) SWOT Analysis;Tue, 07 May 2024 05:03:43 +0000;L_2024-05-07;0.4588;0.0
78961310-49c8-3992-b2f5-d12adb980cd0;L;Loews Corp (L) Reports Strong First Quarter 2024 Earnings, Net Income Rises 22%;Key Subsidiaries Drive Performance with Notable Contributions from CNA Financial and Boardwalk Pipelines;Mon, 06 May 2024 12:02:08 +0000;L_2024-05-06;0.0;0.5106
80efd2b2-09a9-375f-b6ef-fb8cbf46eb82;L;Loews reports higher profit on strong returns on investment income;"U.S. government bonds have rallied on rising hopes of the U.S. Federal Reserve successfully executing a soft landing as inflation cools down and that has induced confidence among market participants.  ""CNA continues to experience strong profitable growth, reporting its highest ever first-quarter core income,"" said James S. Tisch, President and CEO, Loews Corporation.  Investment income for the New York-based company rose to $669 million in the quarter ended March 31, from $569 million a year earlier.";Mon, 06 May 2024 11:02:40 +0000;L_2024-05-06;0.9524;0.7351
85924884-2261-3326-aec3-e5dbd6af9a5f;L;LOEWS CORPORATION REPORTS NET INCOME OF $457 MILLION FOR THE FIRST QUARTER OF 2024;Loews Corporation (NYSE: L) today released its first quarter 2024 financial results.;Mon, 06 May 2024 10:00:00 +0000;L_2024-05-06;0.0;0.0
19717fc9-ce53-47e4-ab8b-4bda4d0a4166;L;Stocks to watch next week: BP,  Saudi Aramco, Uber, and interest rates;Earnings preview of key companies reporting next week and what to look out for.;Fri, 03 May 2024 15:11:29 +0000;L_2024-05-03;0.0;0.507
00e24876-52d5-35d6-86a2-98a31a20d026;L;Loblaw Releases 2023 ESG Report;"Loblaw Companies Limited (TSX: L) (""Loblaw"") released its 2023 Environmental, Social, and Governance (ESG) report today. The comprehensive document highlights a series of milestones and achievements made over the past year, driven by the company's purpose to help Canadians Live Life Well® by fighting climate change and advancing social equity.";Fri, 03 May 2024 10:00:00 +0000;L_2024-05-03;0.0772;0.0
112c86bd-30b9-3b70-b186-1e26f7ebbf93;L;Loews Corporation to Release First Quarter 2024 Results on May 6, 2024;Loews Corporation (NYSE: L) will report first quarter 2024 financial results on Monday, May 6, 2024. On that date the Company will also post earnings remarks on its website. These remarks will include commentary from the Company's Chief Executive Officer, James S. Tisch, and Chief Financial Officer, Jane Wang.;Tue, 16 Apr 2024 14:00:00 +0000;L_2024-04-16;0.0;0.0
c798ef2d-93f1-3daf-a3d7-37da192b3580;L;Has Loews Corporation's (NYSE:L) Impressive Stock Performance Got Anything to Do With Its Fundamentals?;Loews (NYSE:L) has had a great run on the share market with its stock up by a significant 11% over the last three...;Sat, 23 Mar 2024 14:56:09 +0000;L_2024-03-23;0.7964;0.5106
03a9a0c2-30bd-3a28-b2ee-d8633e4d119f;L;Senior Vice President Kenneth Siegel Sells 6,322 Shares of Loews Corp (L);Senior Vice President Kenneth Siegel has sold 6,322 shares of Loews Corp (NYSE:L) on March 6, 2024, according to a recent SEC filing.;Thu, 07 Mar 2024 04:29:06 +0000;L_2024-03-07;0.296;0.296
c77f28e1-6bf7-3e2f-bedb-89644389a35f;L;Loews Arlington Hotel and Convention Center Officially Opens Its Doors;Loews Hotels & Co, a wholly owned subsidiary of Loews Corporation (NYSE: L), today opens the Loews Arlington Hotel and Convention Center. The hotel is Loews' second and largest hotel in Arlington, Texas and the first-of-its-kind in the market, ushering a new era of hospitality to North Texas.;Tue, 13 Feb 2024 16:30:00 +0000;L_2024-02-13;0.0;0.0
18f6b5f0-26f7-359c-abc2-47737a1c5a82;L;Loews Corporation (NYSE:L) Q4 2023 Earnings Call Transcript;Loews Corporation (NYSE:L) Q4 2023 Earnings Call Transcript February 5, 2024 Loews Corporation isn’t one of the 30 most popular stocks among hedge funds at the end of the third quarter (see the details here). Operator: Ladies and gentlemen, good day, and welcome to the CNA Fourth Quarter 2023 Earnings Conference Call. All participants will […];Tue, 06 Feb 2024 13:14:47 +0000;L_2024-02-06;0.8399;0.0
41d7582e-8540-3d40-87bd-77fad4a47a24;L;Loews Full Year 2023 Earnings: EPS: US$6.30 (vs US$4.17 in FY 2022);Loews ( NYSE:L ) Full Year 2023 Results Key Financial Results Revenue: US$15.9b (up 13% from FY 2022). Net income...;Tue, 06 Feb 2024 10:17:54 +0000;L_2024-02-06;0.0;0.0
2039620c-fbca-3476-9ac6-b2edbe5479aa;L;Loews Hotels Pursues $435 Million Expansion in Texas and Florida;Soon, two out of every three rooms in the Loews Hotels chain will be in either Texas or Florida.;Mon, 05 Feb 2024 21:19:34 +0000;L_2024-02-05;0.0;0.0
bb813b5c-5761-3164-9955-de36be724539;L;Loews Corp (L) Reports Strong Earnings Growth in Q4 and Full Year 2023;Net Income Surges as Subsidiaries Drive Performance;Mon, 05 Feb 2024 12:01:31 +0000;L_2024-02-05;0.0;0.7096
4a928ec3-39c1-33a5-827f-2c7f8cf5f382;L;Loews fourth-quarter profit jumps on investment income gains;U.S. government bonds rallied at the end of last year on expectations that the Federal Reserve will start cutting interest rates in 2024 as inflation cools and the economy slows.  Investment income for the New York-based company rose to $643 million in the quarter ended Dec. 31, from $600 million a year earlier.  A ratio below 100% means an insurer earned more in premiums than it paid out in claims.;Mon, 05 Feb 2024 11:59:13 +0000;L_2024-02-05;0.3612;0.6486
f4b24b4d-a3fe-302c-83a4-626ac8d1190f;L;LOEWS CORPORATION REPORTS NET INCOME OF $446 MILLION FOR THE FOURTH QUARTER OF 2023 AND $1.4 BILLION FOR THE FULL YEAR;Loews Corporation (NYSE: L) today released its fourth quarter 2023 financial results.;Mon, 05 Feb 2024 11:00:00 +0000;L_2024-02-05;0.0;0.0
49921eab-0151-30f9-aafa-7a48f33b573d;M;Best Value Stocks to Buy for June 27th;M, R and HHS made it to the Zacks Rank #1 (Strong Buy) value stocks list on June 27, 2024.;Thu, 27 Jun 2024 12:38:00 +0000;M_2024-06-27;0.34;0.765
67c91e9e-dbae-3a1a-8cdb-10ec3e85737a;M;New Strong Buy Stocks for June 27th;HHS, ESLT, NWPX, M and EAT have been added to the Zacks Rank #1 (Strong Buy) List on June 27, 2024.;Thu, 27 Jun 2024 10:09:00 +0000;M_2024-06-27;0.0;0.5106
7889a63e-38e4-3c0e-bb51-ee5a925cf539;M;Celebrity Chef and Restaurateur Guy Fieri Launches New Flavortown Cookware Line at Macy’s;NEW YORK,, June 25, 2024--Summer’s Greatest Hits continues with celebrity chef and restaurateur, Guy Fieri’s launch of his Flavortown Laser Titanium cookware collection at Macy’s. The collection created with flavor and style in mind was specifically designed with breakthrough, patented technology that offers consumers a non-stick cooking surface, manufactured without any of the potentially harmful chemical coatings (PFAS, PTFE, PFOA) that are used in traditional non-stick cookware. Curated by Gu;Tue, 25 Jun 2024 12:42:00 +0000;M_2024-06-25;0.7351;0.0
a9bcb51e-539e-3d5e-a7ed-d3317cf77228;M;The Zacks Analyst Blog Highlights Vistra, NVIDIA, Apple, Microsoft and Macy's;Vistra, NVIDIA, Apple, Microsoft and Macy's are included in this Analyst Blog.;Tue, 25 Jun 2024 10:09:00 +0000;M_2024-06-25;0.0;0.0
e0cfc610-af18-38ab-aeb3-443728e7a31b;M;Macy’s Celebrates Summer’s Greatest Hits: Macy’s 4th of July Fireworks® Show to Feature Iconic Illuminating Displays and Musical Icons;NEW YORK, June 24, 2024--Macy’s Summer’s Greatest Hits presents the most iconic summer celebration of the year – Macy’s 4th of July Fireworks. Set to dazzle millions of spectators across the country with America’s largest Independence Day display, on Thursday, July 4th at approximately 9:25 p.m., Macy’s will deliver a spectacular summer experience filled with light and sound. Conceived, designed and produced by Macy’s Studios in collaboration with Pyro Spectaculars by Souza, the show’s 48th edit;Mon, 24 Jun 2024 20:00:00 +0000;M_2024-06-24;0.6369;0.836
a2787eac-614b-3712-9851-4856265363e7;M;Yahoo Video: Why Tractor Supply's rural footprint is an asset: Investor;Yahoo Video: Why Tractor Supply's rural footprint is an asset: Investor;Fri, 21 Jun 2024 20:45:00 +0000;M_2024-06-21;0.3612;0.3612
5068a6d6-9d22-3f2e-b3f7-4ba6a19d686d;M;Why Tractor Supply's rural footprint is an asset: Investor;"There are a lot of retailers competing for customers' dollars. Investors are looking for those that are winning that battle. In the latest Good Buy or Goodbye, Washington Crossing Advisors Senior Portfolio Manager Chad Morganlander says Tractor Supply (TSCO) is worth adding to your portfolio, but Macy's (M) is a skip. Morganlander gives three reasons why Tractor Supply is a buy: its rising dividend, the high return on capital for its business model, and its unique positioning as a retailer that caters to farmers and more rural shoppers. Morganlander is less of a fan of Macy's. He doesn't like the retailer's debt situation, describing it as an ""anchor"" for the company. Morganlander also points to Macy's revenue saying the company is ""trying to rationalize their footprint and it's like a battleship trying to make a U-turn in a closet,"" adding that Macy's is struggling to find relevance in a crowded retail space. He also points to an overall slowdown in consumer spending that Macy's may be more vulnerable to than other retailers.  For more expert insight and the latest market action, click here to watch this full episode of Market Domination. This post was written by Stephanie Mikulich.";Fri, 21 Jun 2024 20:30:46 +0000;M_2024-06-21;-0.8803;0.3612
da670e2b-8f7c-3e00-9f03-2f7b6b46afdf;M;Macy’s kicks off summer with first campaign under new CMO;Developed with agency Mono, the effort is the retailer’s first big campaign since Sharon Otterman joined as chief marketer six months ago.;Fri, 21 Jun 2024 08:53:22 +0000;M_2024-06-21;0.0;0.0
2197195c-031d-39a9-82b2-b180250a9b85;M;Why Is Macy's (M) Down 9.4% Since Last Earnings Report?;Macy's (M) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.;Thu, 20 Jun 2024 15:30:06 +0000;M_2024-06-20;0.0;0.0
f9492cec-d541-3274-9e57-737563be3d9d;M;Macy's (M) Rides on First 50 initiative, Omnichannel Presence;Macy's (M) revitalizes operations and enhances engagement. First 50 Pilot and A Bold New Chapter initiatives fuel efficiency and profitability, ensuring retail dominance and shareholder value.;Thu, 20 Jun 2024 15:14:00 +0000;M_2024-06-20;0.926;0.0
d4876af2-614f-38e4-bf51-aac644dbbdb5;M;Macy’s Launches Summer’s Greatest Hits Campaign With Song Performed by R&B Artist Amber Mark;The campaign launched across TV, digital media, social, out-of-home and on Macy's brand channels Thursday.;Thu, 20 Jun 2024 15:06:41 +0000;M_2024-06-20;0.128;0.6369
38b376a8-6208-3d73-a4d7-4f67129b7a0c;M;"Macy’s Launches Summer’s Greatest Hits Campaign with a Fresh Recording of ""Lovely Day"" by GRAMMY® Nominated Artist Amber Mark and Produced by GRAMMY® Award Winning Ryan Tedder";NEW YORK, June 20, 2024--Macy’s launches a new campaign, Summer’s Greatest Hits, to celebrate the beginning of summer. The beginning of every season comes with so much promise and excitement. These are the precious moments in our lives that are spent with loved ones creating unforgettable experiences and lasting memories. But it’s not about perfection or overplanning but about finding joy in every moment. Macy’s has captured that very essence in Summer’s Greatest Hits – the celebration will exte;Thu, 20 Jun 2024 13:52:00 +0000;M_2024-06-20;0.965;0.9531
c0aaa5e1-6c47-3548-ae88-c7069f7b1db1;M;Shrinkflation, shoplifting, and self-checkout;"Target (TGT), Macy's (M), Best Buy (BBY), were hit hard by 'rampant shoplifting' and shrinkflation, according to investor and market commentator, Jeff Macke. He joined Yahoo Finance Executive Editor Brian Sozzi on Opening Bid to discuss the difficulties and errors retailer made over recent years; specifically, self-checkout. 'Self-check was just one of the great debacle in retail history. The idea that, that people can just be trusted to check themselves out of stores. Geez,' he added. For full episodes of Opening Bid, watch on our website or listen on your favorite podcast platform.";Tue, 18 Jun 2024 11:30:06 +0000;M_2024-06-18;0.886;0.0
439ce109-8b6e-3447-8bad-24e3606cb05c;M;What a Biden-Trump rematch means for the largest retail stocks;If there has been any constant down the aisles of supermarkets and on the racks at clothing stores, it’s inflation. While inflation has started to cool down, the reality is that prices continue to be high — and that remains a key issue for consumers. Some retailers have fared well against this backdrop, namely Walmart (WMT). Others like Macy’s (M) and Best Buy (BBY) have struggled as households cut back on non-essential items. The issue of inflation will take center stage with voters in the November presidential election and could weigh on retailers until the race for the White House is over. So what’s the best retail investment strategy during this political news storm? Yahoo Finance Executive Editor Brian Sozzi discusses it all with investor, retail expert, author and partner at Wall Street Beats, Jeff Macke.;Mon, 17 Jun 2024 12:30:00 +0000;M_2024-06-17;0.9014;0.0
47f04a20-701c-3245-8bcb-c556dc56cb7d;M;Best Value Stocks to Buy for June 14th;M, HHS and FFBC made it to the Zacks Rank #1 (Strong Buy) value stocks list on June 14, 2024.;Fri, 14 Jun 2024 12:08:00 +0000;M_2024-06-14;0.34;0.765
8e44119e-8f5e-3bbd-b4a0-0b8c9981cc1f;M;The Pandemic Felled Dozens of Stellar Credit Ratings. CFOs Want Them Back.;Delta, Macy’s and others are among the ‘fallen angels’ that lost their investment-grade halo in 2020. Finance chiefs have been slashing debt and fortifying balance sheets to recoup that ranking.;Fri, 14 Jun 2024 10:00:00 +0000;M_2024-06-14;-0.7096;0.4404
f37d196e-be01-362a-b202-31b10d526cd3;M;BLOOMINGDALE'S LAUNCHES LATEST CAROUSEL GAME ON POWERED BY AIR FRANCE;Bloomingdale's, in partnership with Air France, announces The Carousel @ Bloomingdale's: Game On. Curated by Venus Williams, the shop is available both in-store and online, to get customers excited for the most anticipated event of the summer. Game On will feature an array of must-have items across categories, including an exclusive collaboration between the American Tennis Champion, fashion icon, and entrepreneur, Venus Williams and Bloomingdale's private label, AQUA.;Thu, 13 Jun 2024 14:00:00 +0000;M_2024-06-13;0.7783;0.0
9c72840d-5ba8-3ebc-879f-c4e549b63a1d;M;Is Macy's (M) Stock Undervalued Right Now?;Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.;Wed, 12 Jun 2024 13:40:16 +0000;M_2024-06-12;0.9081;0.0
6150464d-2bcd-39ee-a509-36395dc96d36;M;Q1 Earnings Highs And Lows: Kohl's (NYSE:KSS) Vs The Rest Of The Department Store Stocks;As the Q1 earnings season comes to a close, it’s time to take stock of this quarter's best and worst performers in the department store industry, including Kohl's (NYSE:KSS) and its peers.;Tue, 11 Jun 2024 06:46:01 +0000;M_2024-06-11;0.0258;-0.2023
5c89d4f8-cde6-3a64-acde-10a5e6ce3ab4;M;Macy's (M) Upgraded to Strong Buy: Here's What You Should Know;Macy's (M) might move higher on growing optimism about its earnings prospects, which is reflected by its upgrade to a Zacks Rank #1 (Strong Buy).;Mon, 10 Jun 2024 16:00:10 +0000;M_2024-06-10;0.7506;0.5106
7e7c7cb5-cda3-3b8c-a9a7-1b8b69d7eee9;F;A Little Good News for Rivian Investors;Rivian's R1S was one of the biggest gainers in registrations year over year -- here's how the top 10 looks.;Fri, 28 Jun 2024 10:00:00 +0000;F_2024-06-28;0.2023;0.3832
9e0beffa-49d5-3917-91ab-632f5a2e55ab;F;Tesla Falls Short in Quality to GM and Ford, Survey Shows;Ram was the top brand in 2024 initial quality rankings. Chevy was two and Ford was nine. Tesla was near the bottom again.;Thu, 27 Jun 2024 20:23:00 +0000;F_2024-06-27;0.2023;0.0
4e793c1e-589a-47c4-88c2-0f0993e63e34;F;CDK Global works to restore dealer software after hack, but the auto sales fallout still looms;The CDK Global cyberattack outage that crippled dealerships across North America appears to be finally on a path toward resolution, but lost sales and service revenue could be substantial.;Thu, 27 Jun 2024 17:05:20 +0000;F_2024-06-27;-0.1901;-0.0772
2307d910-49ea-30d7-a9d9-a1c81cb1c219;F;Tesla’s Design Changes Confuse Drivers and Undercut EV Quality;(Bloomberg) -- Tesla Inc. no longer stands above other electric vehicles in quality because head-scratching design changes on its cars, such as removing turn-signal stalks, have frustrated its owners and lowered its score in a bellwether quality survey.Most Read from BloombergBiden Struggles as He Spars With Trump on Economy: Debate TakeawaysBiden’s Disastrous Debate Accelerates Doubts Over CandidacySupreme Court Poised to Allow Emergency Abortions in IdahoBiden Struggles Against Trump in High-S;Thu, 27 Jun 2024 16:00:00 +0000;F_2024-06-27;-0.9423;-0.2263
e1d6c2dd-d0a5-37fa-9831-c0da82a87182;F;Rivian Partners With Volkswagen. Why Ford Isn’t Feeling Seller’s Remorse.;Volkswagen’s partnership with Rivian might surprise some investors. Ford was the traditional car marker that had a prior relationship with the EV start-up.;Wed, 26 Jun 2024 12:17:00 +0000;F_2024-06-26;0.2732;-0.1531
